"Año";"Periodo";"Variación interanual (en %)"
"1996";"Trimestre 1";"2,41"
"1996";"Trimestre 2";"2,52"
"1996";"Trimestre 3";"2,97"
"1996";"Trimestre 4";"2,74"
"1997";"Trimestre 1";"3,17"
"1997";"Trimestre 2";"3,36"
"1997";"Trimestre 3";"3,7"
"1997";"Trimestre 4";"4,57"
"1998";"Trimestre 1";"4,43"
"1998";"Trimestre 2";"4,64"
"1998";"Trimestre 3";"4,4"
"1998";"Trimestre 4";"4,11"
"1999";"Trimestre 1";"4,23"
"1999";"Trimestre 2";"4,3"
"1999";"Trimestre 3";"4,69"
"1999";"Trimestre 4";"4,74"
"2000";"Trimestre 1";"5,38"
"2000";"Trimestre 2";"5,43"
"2000";"Trimestre 3";"5,16"
"2000";"Trimestre 4";"5,02"
"2001";"Trimestre 1";"4,41"
"2001";"Trimestre 2";"3,87"
"2001";"Trimestre 3";"3,74"
"2001";"Trimestre 4";"3,43"
"2002";"Trimestre 1";"2,83"
"2002";"Trimestre 2";"2,96"
"2002";"Trimestre 3";"2,64"
"2002";"Trimestre 4";"2,69"
"2003";"Trimestre 1";"3,22"
"2003";"Trimestre 2";"2,86"
"2003";"Trimestre 3";"2,9"
"2003";"Trimestre 4";"3"
"2004";"Trimestre 1";"2,65"
"2004";"Trimestre 2";"3,14"
"2004";"Trimestre 3";"3,44"
"2004";"Trimestre 4";"3,26"
"2005";"Trimestre 1";"3,64"
"2005";"Trimestre 2";"3,55"
"2005";"Trimestre 3";"3,56"
"2005";"Trimestre 4";"3,9"
"2006";"Trimestre 1";"4,06"
"2006";"Trimestre 2";"4,14"
"2006";"Trimestre 3";"4,12"
"2006";"Trimestre 4";"4,06"
"2007";"Trimestre 1";"3,83"
"2007";"Trimestre 2";"3,76"
"2007";"Trimestre 3";"3,59"
"2007";"Trimestre 4";"3,26"
"2008";"Trimestre 1";"2,56"
"2008";"Trimestre 2";"1,76"
"2008";"Trimestre 3";"0,78"
"2008";"Trimestre 4";"-1,45"
"2009";"Trimestre 1";"-4,2"
"2009";"Trimestre 2";"-4,34"
"2009";"Trimestre 3";"-3,96"
"2009";"Trimestre 4";"-2,44"
"2010";"Trimestre 1";"0,11"
"2010";"Trimestre 2";"0,28"
"2010";"Trimestre 3";"0,02"
"2010";"Trimestre 4";"0,12"
"2011";"Trimestre 1";"-0,01"
"2011";"Trimestre 2";"-0,46"
"2011";"Trimestre 3";"-1,05"
"2011";"Trimestre 4";"-1,74"
"2012";"Trimestre 1";"-2,52"
"2012";"Trimestre 2";"-3,16"
"2012";"Trimestre 3";"-3,01"
"2012";"Trimestre 4";"-3,15"
"2013";"Trimestre 1";"-2,53"
"2013";"Trimestre 2";"-1,66"
"2013";"Trimestre 3";"-1,23"
"2013";"Trimestre 4";"-0,29"
"2014";"Trimestre 1";"0,4"
"2014";"Trimestre 2";"0,94"
"2014";"Trimestre 3";"1,75"
"2014";"Trimestre 4";"2,45"
"2015";"Trimestre 1";"3,25"
"2015";"Trimestre 2";"3,87"
"2015";"Trimestre 3";"4,05"
"2015";"Trimestre 4";"4,16"
"2016";"Trimestre 1";"3,67"
"2016";"Trimestre 2";"3,02"
"2016";"Trimestre 3";"2,98"
"2016";"Trimestre 4";"2,48"
"2017";"Trimestre 1";"2,55"
"2017";"Trimestre 2";"3,16"
"2017";"Trimestre 3";"2,82"
"2017";"Trimestre 4";"3,03"
"2018";"Trimestre 1";"2,82"
"2018";"Trimestre 2";"2,25"
"2018";"Trimestre 3";"2,22"
"2018";"Trimestre 4";"2,12"
"2019";"Trimestre 1";"2,1"
"2019";"Trimestre 2";"2,12"
"2019";"Trimestre 3";"2"
;;
;;
"Métrica":"Variación interanual (en %)"
"Fuente":"INE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/pib-tambien-pisa-acelerador-crece-24-variacion-interanual/c560967a-b1f7-40ef-b7b2-42f84a8f1088"
"Titulo":"Variación anual del PIB de España hasta el tercer trimestre de 2019"
"Subtitulo":"Avance trimestral"
