"Año";"Periodo";"Parámetro";"Nº de votos"
"2016";"Junio";"ALCD";"210"
"2016";"Junio";"AND";"1.695"
"2016";"Junio";"BNG";"44.902"
"2016";"Junio";"CC-PNC";"78.080"
"2016";"Junio";"CCD";"6.264"
"2016";"Junio";"CCD-CI";"2.668"
"2016";"Junio";"CDC";"481.839"
"2016";"Junio";"CENTRO MODERADO";"2.986"
"2016";"Junio";"CILUS";"847"
"2016";"Junio";"Ciudadanos";"3.123.769"
"2016";"Junio";"EAJ-PNV";"286.215"
"2016";"Junio";"EB";"12.024"
"2016";"Junio";"EH Bildu";"184.092"
"2016";"Junio";"ENTABAN";"257"
"2016";"Junio";"ERC";"629.294"
"2016";"Junio";"FE";"254"
"2016";"Junio";"FE de las JONS";"9.862"
"2016";"Junio";"FME";"338"
"2016";"Junio";"GBAI";"14.289"
"2016";"Junio";"HRTS-Ln";"82"
"2016";"Junio";"IMC";"351"
"2016";"Junio";"INDEPENDIENTES-FIA";"556"
"2016";"Junio";"IZAR";"854"
"2016";"Junio";"JXC";"1.184"
"2016";"Junio";"Ln";"617"
"2016";"Junio";"MAS";"718"
"2016";"Junio";"P-LIB";"3.103"
"2016";"Junio";"Partido Animalista contra el Maltrato Animal";"284.848"
"2016";"Junio";"PCOE";"1.812"
"2016";"Junio";"PCPE";"26.553"
"2016";"Junio";"PFyV";"838"
"2016";"Junio";"PH";"3.288"
"2016";"Junio";"Podemos y sus confluencias";"5.049.734"
"2016";"Junio";"PP";"7.906.185"
"2016";"Junio";"PREPAL";"640"
"2016";"Junio";"PSOE";"5.424.709"
"2016";"Junio";"PUEDE";"330"
"2016";"Junio";"PxC";"722"
"2016";"Junio";"RECORTES CERO-GRUPO VERDE";"51.742"
"2016";"Junio";"REPO";"569"
"2016";"Junio";"SAIn";"3.221"
"2016";"Junio";"SI";"7.413"
"2016";"Junio";"SOMVAL";"6.612"
"2016";"Junio";"UDT";"54"
"2016";"Junio";"UNIDAD DEL PUEBLO";"684"
"2016";"Junio";"UPL";"2.307"
"2016";"Junio";"UPyD";"50.282"
"2016";"Junio";"Vox";"46.781"
"2019";"Abril";"+MAS+";"46"
"2019";"Abril";"Ahora Canarias";"3.027"
"2019";"Abril";"ANDECHA";"909"
"2019";"Abril";"ARA-MES-ESQUERRA";"25.384"
"2019";"Abril";"AVANT";"7.251"
"2019";"Abril";"AxSI";"11.485"
"2019";"Abril";"BNG";"93.810"
"2019";"Abril";"C.XXI";"69"
"2019";"Abril";"CC-PNC";"137.196"
"2019";"Abril";"CENTRADOS";"458"
"2019";"Abril";"CEx";"2.135"
"2019";"Abril";"CILU-LINARES";"1.079"
"2019";"Abril";"Ciudadanos";"4.136.600"
"2019";"Abril";"CNV";"2.406"
"2019";"Abril";"COMPROMÍS";"172.751"
"2019";"Abril";"CPM";"6.890"
"2019";"Abril";"CxG";"2.692"
"2019";"Abril";"DP";"308"
"2019";"Abril";"DPL";"539"
"2019";"Abril";"EAJ-PNV";"394.627"
"2019";"Abril";"EH Bildu";"258.840"
"2019";"Abril";"EL PI";"11.671"
"2019";"Abril";"EN MAREA";"17.726"
"2019";"Abril";"ERC";"1.015.355"
"2019";"Abril";"ERPV";"4.203"
"2019";"Abril";"F8";"566"
"2019";"Abril";"FE de las JONS";"641"
"2019";"Abril";"FRONT REPUBLICÀ";"113.008"
"2019";"Abril";"GBAI";"22.150"
"2019";"Abril";"INDEPENDIENTES-FIA";"803"
"2019";"Abril";"IZAR";"253"
"2019";"Abril";"IZQP";"3.409"
"2019";"Abril";"JF";"872"
"2019";"Abril";"JxCAT";"497.638"
"2019";"Abril";"NA+";"107.124"
"2019";"Abril";"NCa";"36.193"
"2019";"Abril";"P-LIB";"1.250"
"2019";"Abril";"PACT";"30.448"
"2019";"Abril";"PCOE";"9.094"
"2019";"Abril";"PCPA";"4.737"
"2019";"Abril";"PCPE";"8.991"
"2019";"Abril";"PCTE";"14.189"
"2019";"Abril";"PDSJE-UDEC";"276"
"2019";"Abril";"PH";"4.435"
"2019";"Abril";"Podemos y sus confluencias";"3.732.929"
"2019";"Abril";"PP";"4.356.023"
"2019";"Abril";"PPSO";"2.656"
"2019";"Abril";"PRC";"52.197"
"2019";"Abril";"PREPAL";"2.135"
"2019";"Abril";"PSOE";"7.480.755"
"2019";"Abril";"PYLN";"824"
"2019";"Abril";"RECORTES CERO-GRUPO VERDE";"46.487"
"2019";"Abril";"RISA";"188"
"2019";"Abril";"SOLIDARIA";"627"
"2019";"Abril";"Somos Región";"5.018"
"2019";"Abril";"UDT";"28"
"2019";"Abril";"URCL";"483"
"2019";"Abril";"VOU";"303"
"2019";"Abril";"Vox";"2.677.173"
;;
;;
"Métrica":"Nº de votos"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Votos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cuantos-votos-recibido-cada-partido/1fcb070f-6c28-4562-b183-44773dccaec8"
"Titulo":"¿Cuántos votos ha recibido cada partido?"
"Subtitulo":""
